@id,@type,rdfs:label
ndc9:115.6,skos:Concept,認識論--新実在論
ndc9:115.7,skos:Concept,認識論--神秘主義．直観主義
ndc9:115.8,skos:Concept,認識論--懐疑論．不可知論
ndc9:116.1,skos:Concept,論理学．弁証法［弁証法的論理学］．方法論--形式論理学：三段論法，演繹法，帰納法，類推法
ndc9:116.3,skos:Concept,論理学．弁証法［弁証法的論理学］．方法論--記号論理学．論理実証主義．分析哲学
ndc9:116.4,skos:Concept,論理学．弁証法［弁証法的論理学］．方法論--唯物弁証法［弁証法的唯物論］．マルクス主義哲学
ndc9:116.5,skos:Concept,論理学．弁証法［弁証法的論理学］．方法論--科学方法論
ndc9:116.6,skos:Concept,論理学．弁証法［弁証法的論理学］．方法論--実証的方法論
ndc9:116.7,skos:Concept,論理学．弁証法［弁証法的論理学］．方法論--現象学的方法論
ndc9:116.8,skos:Concept,論理学．弁証法［弁証法的論理学］．方法論--解釈学的方法論
ndc9:116.9,skos:Concept,論理学．弁証法［弁証法的論理学］．方法論--構造主義
ndc9:120.2,skos:Concept,東洋思想--東洋思想史＜通史＞
ndc9:121.02,skos:Concept,日本思想--日本思想史＜通史＞
ndc9:121.3,skos:Concept,日本思想--古代
ndc9:121.4,skos:Concept,日本思想--中世
ndc9:121.5,skos:Concept,日本思想--近世
ndc9:121.52,skos:Concept,日本思想--近世--国学［和学］
ndc9:121.53,skos:Concept,日本思想--近世--日本の儒学＜一般＞
ndc9:121.54,skos:Concept,日本思想--近世--朱子学派
ndc9:121.55,skos:Concept,日本思想--近世--陽明学派
ndc9:121.56,skos:Concept,日本思想--近世--古学派
ndc9:121.57,skos:Concept,日本思想--近世--折衷学派
ndc9:121.58,skos:Concept,日本思想--近世--水戸学
ndc9:121.59,skos:Concept,日本思想--近世--その他の思想家
ndc9:121.6,skos:Concept,日本思想--近代
ndc9:121.63,skos:Concept,日本思想--近代--西田幾多郎 1870―1945
ndc9:121.65,skos:Concept,日本思想--近代--和辻哲郎 1889―1960
ndc9:121.67,skos:Concept,日本思想--近代--三木清 1897―1945
ndc9:122.02,skos:Concept,中国思想．中国哲学--中国思想史＜通史＞
ndc9:123.01,skos:Concept,東洋思想--経書--経学
ndc9:123.02,skos:Concept,（東洋思想--経書--経学）
ndc9:123.1,skos:Concept,東洋思想--経書--易経．周易
ndc9:123.2,skos:Concept,東洋思想--経書--書経．尚書
ndc9:123.3,skos:Concept,東洋思想--経書--詩経．毛詩
ndc9:123.4,skos:Concept,東洋思想--経書--礼類：周礼，儀礼，礼記，大戴礼
ndc9:123.5,skos:Concept,東洋思想--経書--楽類
ndc9:123.6,skos:Concept,東洋思想--経書--春秋類
ndc9:123.65,skos:Concept,東洋思想--経書--春秋類--左氏伝
